id,name,vendor,type,segment,condition,warranty_tag,cpu,ram,ssd,gpu,screen,price,compare_at,stock_tracked,qty,url,collections,price_band
44712872,Laptop cũ Dell Latitude 7390 2in1 Core i5-8250U | 8GB | 256GB | 13.3 inch FHD,Dell,Laptop,Xoay gập,Cũ,6 Tháng,intel Core i5-8350U,8GB DDR4,256GB NVMe,Intel Graphics,13 inch FHD Cảm ứng,7690000,9990000,yes,4,https://laptoptv.vn/laptop-cu-dell-latitude-7390-2in1-ca-m-u-ng-core-i5-8250u-man-hinh-13-3-inch-xoay-ga-p-360,laptop-2in1,5–10tr
44712862,Laptop cũ Dell Latitude 7390 2in1 Core i5-8250U | 16GB | 256GB | 13.3 inch Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,intel Core i5-8350U,16GB DDR4,M.2 NMVe 256,Intel Graphics,13 inch FHD Cảm ứng,8290000,9980000,yes,5,https://laptoptv.vn/laptop-cu-dell-latitude-7390-2in1-ca-m-u-ng-core-i5-8250u-16gb-256gb-man-hinh-13-3-inch-xoay-ga-p-360,laptop-2in1,5–10tr
46452534,[Like New] Dell Latitude 7400 2in1 Core i5-8365U | 8GB | 256GB | Intel UHD Graphic | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i5-8365U,8GB DDR4,256GB Nvme,Intel Graphics,14 inch FHD Cảm ứng,8970000,11780000,yes,2,https://laptoptv.vn/laptop-cu-dell-latitude-7400-2in1-core-i5-8365u-8gb-256gb-intel-uhd-graphic-14-inch-fhd-cam-ung,laptop-2in1,5–10tr
58753475,Laptop cũ Dell Latitude 5300 2in1 Core i7-8665U | 16GB | 256GB | 13.3 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i7-8665U,16GB DDR4,,Intel Graphics,13.3 inch FHD Cảm ứng,8980000,13890000,yes,2,https://laptoptv.vn/laptop-cu-dell-latitude-5300-2in1-core-i7-8665u-16gb-256gb-13-3-inch-fhd-cam-ung,laptop-2in1,5–10tr
44712989,[Like New] Dell Latitude 7400 2in1 Core i5-8365U | 16GB | 256GB | Intel UHD Graphic | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i5-8365U,16GB DDR4,512GB NVMe,Intel Graphics,14 inch FHD Cảm ứng,9280000,12480000,yes,8,https://laptoptv.vn/laptop-cu-dell-latitude-7400-2in1-cam-ung-core-i5-8365u-ram-16gb-ssd-256gb-intel-uhd-graphic-14inch-cam-ung,laptop-2in1,5–10tr
50452813,[Like New] Dell Latitude 7420 [Vỏ Carbon] Core i5-1145G7 | 16GB | 256GB | 14.0 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i5-1145G7,16GB DDR4,256GB NVMe PCIe,Iris Xe Graphics,14 inch FHD,9380000,10980000,yes,5,https://laptoptv.vn/laptop-cu-dell-latitude-7420-core-i5-1145g7-16gb-256gb-14-0-inch-fhd,laptop-2in1,5–10tr
44712828,Laptop cũ Dell Latitude 5300 2in1 Core i7-8665U | 16GB | 512GB | 13.3 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i7-8665U,16GB DDR4,512GB,Intel Graphics,13.3 inch FHD Cảm ứng,9690000,13890000,yes,3,https://laptoptv.vn/laptop-cu-dell-latitude-5300-2in1-core-i7-8665u-16gb-512gb-13-3-inch-fhd-cam-ung,laptop-2in1,5–10tr
44712848,Laptop cũ Dell Latitude 5310 2in1 Core i5-10210U | 16GB | 512GB | 13.3 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i5-10210U,16GB DDR4,SSD M.2 NMVe 512GB,Intel Graphics,"13.3"" FHD Cảm ứng",9880000,14980000,yes,4,https://laptoptv.vn/laptop-cu-dell-latitude-5310-2in1-cam-ung-core-i5-10210u-16gb-512gb-man-hinh-13-3-inch-fhd-cam-ung,laptop-2in1,5–10tr
44712980,[Like New] Dell Latitude 7400 2in1 Core i7-8665U | 16GB | 512GB | Intel UHD Graphics | 14inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-8665U,16GB DDR4,512GB NVMe,Intel Graphics,14 inch FHD Cảm ứng,10680000,13480000,yes,44,https://laptoptv.vn/laptop-cu-dell-latitude-7400-2in1-cam-ung-core-i7-8665u-ram-16gb-ssd-512gb-intel-uhd-graphic-14inch-cam-ung,deal-shock|laptop-2in1,10–15tr
44712961,[Like New] Dell Latitude 7420 2in1 [vỏ carbon] Core i5-1145G7 | 16GB | 256GB | 14.0 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i5-1145G7,16GB DDR4,SSD 256GB NVMe,Iris Xe Graphics,14 inch FHD Cảm ứng,10980000,12980000,yes,5,https://laptoptv.vn/dell-latitude-7420-2in1-core-i5-1145g7-16gb-256gb-14-0-inch-fhd,laptop-2in1,10–15tr
54982391,[LikeNew] Dell Inspiron 7415 2in1  Ryzen 7- 5700U | 16GB | 512GB | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,AMD Ryzen 7-5700U,16GB DDR4,512GB NVMe PCIe,onboard,14 inch FHD Cảm ứng,11280000,17960000,yes,3,https://laptoptv.vn/likenew-dell-inspiron-7415-2in1-ryzen-7-5700u-16gb-512gb-14-inch-fhd-cam-ung,deal-shock|laptop-2in1,10–15tr
44713053,[Like New] Dell Latitude 9410 2in1 Core i5-10210U | 16GB | 256GB | 14 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Core i5- 10210U,,256GB NVMe,onboard,14inch,11980000,15980000,yes,4,https://laptoptv.vn/dell-latitude-9410-2in1-core-i5-10210u-16g-256gb-man-hinh-14-inch-fhd,laptop-2in1,10–15tr
44713056,[Like New] Dell Latitude 9410 2in1 Core i7-10610U |  16GB | 256GB | 14 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,intel Core i7- 10610U,16GB DDR4,256GB NVMe,onboard,14inch,12980000,18980000,yes,5,https://laptoptv.vn/dell-latitude-9410-2in1-core-i7-10610u-16gb-256gb-man-hinh-14-inch-fhd,deal-shock|laptop-2in1,10–15tr
53868016,[Like New] Dell Latitude 7420 [Vỏ nhôm] Core i7-1185G7 | 16GB | 512GB | 14.0 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-1185G7,16GB DDR4,512GB NVMe,Iris Xe Graphics,14inch FHD,12980000,16990000,yes,3,https://laptoptv.vn/laptop-cu-dell-latitude-7420-vo-nhom-core-i7-1185g7-16gb-512gb-14-0-inch-fhd,laptop-2in1,10–15tr
55055557,[LikeNew] Lenovo Thinkpad X1 Yoga Gen 6 2in1  Core i5-1135G7 | 16GB | 256GB | 14 inch FHD+ ( Kèm bút ),Lenovo,Laptop,Xoay gập,Likenew,6 Tháng,intel Core i5-1135G7,16GB LPDDR4,M.2 NMVe 256GB,Intel Graphics,14 inch FHD+ Cảm ứng,13480000,22680000,yes,2,https://laptoptv.vn/likenew-lenovo-thinkpad-x1-yoga-gen-6-2in1-core-i5-1135g7-16gb-256gb-14-inch-fhd,deal-shock|laptop-2in1,10–15tr
55213984,[Like New] Dell Latitude 9410 2in1 Core i7-10610U |  16GB | 512GB | 14 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,intel Core i7- 10610U,16GB DDR4,512GB Nvme,onboard,14inch,13680000,16280000,yes,8,https://laptoptv.vn/laptop-cu-dell-latitude-9410-2in1-core-i7-10610u-16gb-512gb-14-inch-fhd,deal-shock|laptop-2in1,10–15tr
55154886,[Like new] Dell inspiron 13 - 7391 2in1 Core i7-10510U | 16GB | 256GB |13.3 inch 4K Cảm ứng,Dell,Laptop,Laptop,Likenew,6 Tháng,Intel Core i7-10510U,,256GB NVMe PCIe,Intel Graphics,13.3 inch 4K Cảm ứng,13880000,18980000,yes,6,https://laptoptv.vn/laptop-cu-dell-inspiron-13-7391-2in1-core-i7-10510u-16gb-256-13-3-inch-4k-cam-ung,deal-shock,10–15tr
44712669,[Like New] Dell Latitude 9520 2in1 Core i5-1145G7 | 16GB | 256GB | 15.6 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i5-1145G7,16GB onboard,256GB Nvme,Intel Iris Xe Graphics,15 inch FHD Cảm ứng,14290000,15890000,yes,4,https://laptoptv.vn/like-new-dell-latitude-9520-2in1-core-i5-1145g7-16gb-256gb-15-6-inch-fhd-cam-ung,deal-shock|laptop-2in1,10–15tr
55789099,[Like New] Surface Laptop 4 i7- 1185G7 | 16GB | 512GB  | 13.5 inch 2K Cảm ứng,Samsung,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-1185G7,,512GB Nvme,onboard,13.5 inch 2K Cảm ứng,14880000,29890000,yes,4,https://laptoptv.vn/new100-surface-laptop-4-i7-1185g7-16gb-512gb-13-5-inch-2k-cam-ung,deal-shock|laptop-2in1,10–15tr
44713039,[Like New] Dell Latitude 9420 2in1 Core i5-1145G7 | 16GB | 256GB | 14 inch 2K,Dell,Laptop,Xoay gập,Likenew,6 Tháng,intel Core i5-1145G7,16GB DDR4,256GB NVMe,Intel Graphics,14 inch,14980000,19800000,yes,13,https://laptoptv.vn/dell-latitude-9420-2in1-core-i5-1145g7-16gb-256gb-man-hinh-14-inch-2k,deal-shock|laptop-2in1,10–15tr
81688223,Laptop cũ Dell Precision 7550 Core™ i7-10850H | 16GB | 512GB | T1000 | 15.6 inch FHD,Dell,Laptop,Đồ hoạ,Cũ,6 Tháng,Intel Core i7-10750H,16GB DDR4 3200Mhz,512GB NVMe PCIe,NVIDIA T1000,15.6 inch FHD,15180000,27500000,yes,4,https://laptoptv.vn/laptop-cu-dell-precision-7550-core-i7-10850h-16gb-512gb-t1000-15-6-inch-fhd,deal-shock,15–20tr
44712688,Laptop cũ Dell Precision 7550 Core™ i7-10850H | 16GB | 512GB | T2000 | 15.6 inch FHD,Dell,Laptop,Đồ hoạ,Cũ,6 Tháng,Intel Core i7-10750H,16GB DDR4 3200Mhz,512GB NVMe PCIe,NVIDIA T1000,15.6 inch FHD,15790000,27500000,yes,4,https://laptoptv.vn/dell-precision-7550-mobile-workstation-core-i7-10850h-ram-16gb-ssd-512gb-t1000-fhd,deal-shock,15–20tr
44712903,Laptop cũ Dell XPS 7390 2in1 Core i7-1065G7 | 16GB | 256GB | 13.3 inch FHD Cảm ứng,Dell,Laptop,Cao cấp,Cũ,6 Tháng,Intel Core i7-1065G7,16GB DDR4,256GB NVMe,Intel Graphics,13.3 inch FHD Cảm ứng,15880000,24980000,yes,3,https://laptoptv.vn/dell-xps-7390-2in1-cam-ung-core-i7-1065g7-16gb-256gb-fhd-xoay-ga-p-360,deal-shock,15–20tr
54409135,[New 100%] HP OmniBook 5 Flip 2in1  Core 5 120U | 8GB | 512GB | 14inch FHD + Touch | Glacier Silver,HP,Laptop,Xoay gập,Mới,12 Tháng,Core 5-120U,,512GB NVMe PCIe,Intel Graphics,14 inch Cảm ứng,15890000,19980000,yes,3,https://laptoptv.vn/hp-omnibook-5-flip-2in1-core-5-120u-8gb-512gb-14inch-fhd-touch-glacier-silver,deal-shock|laptop-2in1,15–20tr
44712939,[Like new] Laptop Dell Inspiron 5430 Core i5-1340P | 16GB | 512GB | 14 inch 2.5K,Dell,Laptop,Cao cấp,Likenew,6 Tháng,Intel Core i5-1340P,16GB DDR4,512GB NVMe,Intel Graphics,14 inch 2K,16680000,17990000,yes,3,https://laptoptv.vn/new-100-laptop-dell-inspiron-5430-core-i5-1340p-16gb-512gb-man-hinh-14-inch-2k,deal-shock,15–20tr
