id,name,vendor,type,segment,condition,warranty_tag,cpu,ram,ssd,gpu,screen,price,compare_at,stock_tracked,qty,url
44712980,[Like New] Dell Latitude 7400 2in1 Core i7-8665U | 16GB | 512GB | Intel UHD Graphics | 14inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-8665U,16GB DDR4,512GB NVMe,Intel Graphics,14 inch FHD Cảm ứng,10680000,13480000,yes,44,https://laptoptv.vn/laptop-cu-dell-latitude-7400-2in1-cam-ung-core-i7-8665u-ram-16gb-ssd-512gb-intel-uhd-graphic-14inch-cam-ung
54982391,[LikeNew] Dell Inspiron 7415 2in1  Ryzen 7- 5700U | 16GB | 512GB | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,AMD Ryzen 7-5700U,16GB DDR4,512GB NVMe PCIe,onboard,14 inch FHD Cảm ứng,11280000,17960000,yes,3,https://laptoptv.vn/likenew-dell-inspiron-7415-2in1-ryzen-7-5700u-16gb-512gb-14-inch-fhd-cam-ung
44713056,[Like New] Dell Latitude 9410 2in1 Core i7-10610U |  16GB | 256GB | 14 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,intel Core i7- 10610U,16GB DDR4,256GB NVMe,onboard,14inch,12980000,18980000,yes,5,https://laptoptv.vn/dell-latitude-9410-2in1-core-i7-10610u-16gb-256gb-man-hinh-14-inch-fhd
55055557,[LikeNew] Lenovo Thinkpad X1 Yoga Gen 6 2in1  Core i5-1135G7 | 16GB | 256GB | 14 inch FHD+ ( Kèm bút ),Lenovo,Laptop,Xoay gập,Likenew,6 Tháng,intel Core i5-1135G7,16GB LPDDR4,M.2 NMVe 256GB,Intel Graphics,14 inch FHD+ Cảm ứng,13480000,22680000,yes,2,https://laptoptv.vn/likenew-lenovo-thinkpad-x1-yoga-gen-6-2in1-core-i5-1135g7-16gb-256gb-14-inch-fhd
55213984,[Like New] Dell Latitude 9410 2in1 Core i7-10610U |  16GB | 512GB | 14 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,intel Core i7- 10610U,16GB DDR4,512GB Nvme,onboard,14inch,13680000,16280000,yes,8,https://laptoptv.vn/laptop-cu-dell-latitude-9410-2in1-core-i7-10610u-16gb-512gb-14-inch-fhd
66454722,[Like New] Dell Precision 5540 Core i7- 9850H | 16GB | 512GB | T1000 | 15.6 inch FHD,Dell,Laptop,Đồ hoạ,Likenew,6 Tháng,Intel Core i7-9850H,16GB DDR4,512GB NVMe,Quardo T1000,15.6 inch FHD,13780000,20180000,no,0,https://laptoptv.vn/like-new-dell-precision-5540-core-i7-9850h-16gb-512gb-t1000-15-6-inch-fhd-1
55154886,[Like new] Dell inspiron 13 - 7391 2in1 Core i7-10510U | 16GB | 256GB |13.3 inch 4K Cảm ứng,Dell,Laptop,Laptop,Likenew,6 Tháng,Intel Core i7-10510U,,256GB NVMe PCIe,Intel Graphics,13.3 inch 4K Cảm ứng,13880000,18980000,yes,6,https://laptoptv.vn/laptop-cu-dell-inspiron-13-7391-2in1-core-i7-10510u-16gb-256-13-3-inch-4k-cam-ung
44712669,[Like New] Dell Latitude 9520 2in1 Core i5-1145G7 | 16GB | 256GB | 15.6 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i5-1145G7,16GB onboard,256GB Nvme,Intel Iris Xe Graphics,15 inch FHD Cảm ứng,14290000,15890000,yes,4,https://laptoptv.vn/like-new-dell-latitude-9520-2in1-core-i5-1145g7-16gb-256gb-15-6-inch-fhd-cam-ung
44713050,[Like New] Dell Precision 5540 Xeon E-2276M | 16GB | 512GB | T1000 | 15.6 inch 4K OLED,Dell,Laptop,Đồ hoạ,Likenew,6 Tháng,Intel Core i7-9850H,16GB DDR4,512GB NVMe,Quardo T1000,15.6 inch,14790000,20180000,no,0,https://laptoptv.vn/like-new-dell-precision-5540-xeon-e-2276m-16gb-512gb-t1000-15-6-inch-4k-oled
55789099,[Like New] Surface Laptop 4 i7- 1185G7 | 16GB | 512GB  | 13.5 inch 2K Cảm ứng,Samsung,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-1185G7,,512GB Nvme,onboard,13.5 inch 2K Cảm ứng,14880000,29890000,yes,4,https://laptoptv.vn/new100-surface-laptop-4-i7-1185g7-16gb-512gb-13-5-inch-2k-cam-ung
