id,name,vendor,type,segment,condition,warranty_tag,cpu,ram,ssd,gpu,screen,price,compare_at,stock_tracked,qty,url
44712872,Laptop cũ Dell Latitude 7390 2in1 Core i5-8250U | 8GB | 256GB | 13.3 inch FHD,Dell,Laptop,Xoay gập,Cũ,6 Tháng,intel Core i5-8350U,8GB DDR4,256GB NVMe,Intel Graphics,13 inch FHD Cảm ứng,7690000,9990000,yes,4,https://laptoptv.vn/laptop-cu-dell-latitude-7390-2in1-ca-m-u-ng-core-i5-8250u-man-hinh-13-3-inch-xoay-ga-p-360
44712831,Laptop cũ Dell Latitude 5300 2in1 Core i5-8365U | 8GB | 256GB | 13.3 inch  FHD Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,intel Core I5-8365U,8GB DDR3,256GB Nvme,Intel Graphics,13.3 inch FHD Cảm ứng,7690000,9000000,no,0,https://laptoptv.vn/laptop-cu-dell-latitude-5300-2in1-ca-m-u-ng-core-i5-8365u-8gb-256gb-xoay-ga-p-360
59276757,[Like New] Dell latitude 5320 Core i5-1145G7 | 8GB | 256GB | 13.3 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,intel Core i5-1135G7,8GB DDR4,256GB NVMe PCIe,Intel Graphics,13.3 inch FHD,7980000,9860000,no,0,https://laptoptv.vn/like-new-dell-latitude-5320-core-i5-1145g7-8gb-256gb-13-3-inch-fhd-cam-ung
44712862,Laptop cũ Dell Latitude 7390 2in1 Core i5-8250U | 16GB | 256GB | 13.3 inch Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,intel Core i5-8350U,16GB DDR4,M.2 NMVe 256,Intel Graphics,13 inch FHD Cảm ứng,8290000,9980000,yes,5,https://laptoptv.vn/laptop-cu-dell-latitude-7390-2in1-ca-m-u-ng-core-i5-8250u-16gb-256gb-man-hinh-13-3-inch-xoay-ga-p-360
90170672,Laptop cũ Dell Latitude 5300 2in1 Core i7-8665U | 8GB | 256GB | 13.3 inch FHD Cảm ứng,,,Xoay gập,Cũ,6 Tháng,Intel Core i7,8GB,,Intel Graphics,13 inch,8480000,10680000,no,0,https://laptoptv.vn/laptop-cu-dell-latitude-5300-2in1-core-i7-8665u-8gb-256gb-13-3-inch-fhd-cam-ung
45538793,Laptop cũ Dell Latitude 7390 2in1 Core i7-8650U | 16GB | 256GB | 13.3 inch Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,intel Core i7-8650U,16GB DDR4,M.2 NMVe 256GB,Intel Graphics,13 inch FHD Cảm ứng,8780000,11980000,no,0,https://laptoptv.vn/laptop-cu-dell-latitude-7390-2in1-ca-m-u-ng-core-i7-8650u-16gb-256gb-man-hinh-13-3-inch-xoay-ga-p-360-1
44712845,Laptop cũ Dell Latitude 5310 2in1 Core i5-10310U | 8GB | 256GB | 13.3 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,intel Core i5 10310U,8GB DDR4,M.2 NMVe 256,Intel Graphics,"13.3"" FHD Cảm ứng",8880000,14800000,no,0,https://laptoptv.vn/laptop-cu-dell-latitude-5310-2in1-cam-ung-core-i5-10310u-8gb-256gb-man-hinh-13-3-inch-fhd-cam-ung
46452534,[Like New] Dell Latitude 7400 2in1 Core i5-8365U | 8GB | 256GB | Intel UHD Graphic | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i5-8365U,8GB DDR4,256GB Nvme,Intel Graphics,14 inch FHD Cảm ứng,8970000,11780000,yes,2,https://laptoptv.vn/laptop-cu-dell-latitude-7400-2in1-core-i5-8365u-8gb-256gb-intel-uhd-graphic-14-inch-fhd-cam-ung
58753475,Laptop cũ Dell Latitude 5300 2in1 Core i7-8665U | 16GB | 256GB | 13.3 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i7-8665U,16GB DDR4,,Intel Graphics,13.3 inch FHD Cảm ứng,8980000,13890000,yes,2,https://laptoptv.vn/laptop-cu-dell-latitude-5300-2in1-core-i7-8665u-16gb-256gb-13-3-inch-fhd-cam-ung
44712989,[Like New] Dell Latitude 7400 2in1 Core i5-8365U | 16GB | 256GB | Intel UHD Graphic | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i5-8365U,16GB DDR4,512GB NVMe,Intel Graphics,14 inch FHD Cảm ứng,9280000,12480000,yes,8,https://laptoptv.vn/laptop-cu-dell-latitude-7400-2in1-cam-ung-core-i5-8365u-ram-16gb-ssd-256gb-intel-uhd-graphic-14inch-cam-ung
