id,name,vendor,type,segment,condition,warranty_tag,cpu,ram,ssd,gpu,screen,price,compare_at,stock_tracked,qty,url
44712721,Laptop cũ Gaming Dell Inspiron 7566 Core i5-6300HQ | 8GB | 128GB + HDD500GB | NVIDIA 960M | 15.6 inch FHD,Dell,Laptop,Gaming,Cũ,6 Tháng,Intel Core i5-6300HQ,8GB DDR4,128GB + HDD 500GB,Intel Graphics,15 inch FHD,7590000,10280000,no,0,https://laptoptv.vn/dell-inspiron-7566-core-i5-6300hq-8gb-128gb-500gb-960m
44712720,Laptop Gaming cũ Dell Inspiron 7559 Core i5-6300HQ | 8GB | 128GB + HDD500GB | NVIDIA 960M | 15.6 inch FHD,Dell,Laptop,Gaming,Cũ,6 Tháng,Inel Core i5-6300HQ,8GB DDR4,128GB + HDD 500GB,Intel Graphics,15 inch FHD,7590000,11980000,no,0,https://laptoptv.vn/dell-inspiron-7559-core-i5-6300hq-8gb-128gb-500gb-960m
47761519,Laptop cũ Dell Inspiron 7567 | Core i7-7700HQ | 8GB | 256GB | GTX 1050Ti,Dell,Laptop,Gaming,Cũ,,Core i7-7700HQ,,256 GB SSD NVMe PCIe,NVIDIA GTX 1050Ti,15.6 inch FHD,9880000,15680000,no,0,https://laptoptv.vn/laptop-cu-dell-inspiron-7567-core-i7-7700hq-8gb-256gb-gtx-1050ti
72904224,Laptop Gaming cũ Acer Nitro 5 AN515-55 Core i5-10300H | 16GB | 512GB | GTX 1650 | 15.6 inch FHD,Acer,Laptop,Gaming,Cũ,6 Tháng,Intel Core i5-10300H,16GB DDR4,512GB NVMe PCIe,NVIDIA GTX 1650,15.6 inch FHD,13680000,17160000,no,0,https://laptoptv.vn/laptop-gaming-cu-acer-nitro-5-an515-55-core-i5-10300h-16gb-512gb-gtx-1650ti-15-6-inch-fhd
44712964,Laptop cũ Dell Gaming G3 3500 Core i5-10200H | 8GB | 256GB | GTX1650 | 15.6 inch FHD,Dell,Laptop,Gaming,Cũ,6 Tháng,Intel Core i5-10210H,8GB DDR4,512GB NVMe,GTX 1650,15.6 inch FHD,13990000,16800000,no,0,https://laptoptv.vn/laptop-cu-dell-gaming-g3-3500-core-i5-10200h-8gb-256gb-gtx1650-man-hinh-15-6-inch-fhd
44712914,Laptop cũ Lenovo Ideapad Gaming 3 Ryzen 5-5600H | 8GB | 256GB | GTX 1650 | 15.6 inch FHD 120Hz,Lenovo,Laptop,Gaming,Cũ,6 Tháng,AMD Ryzen 5-5600H,8GB DDR4,512GB NVMe,NVIDIA GTX 1650,15.6 inch 120Hz,14490000,17899000,no,0,https://laptoptv.vn/lenovo-ideapad-gaming-3-ryzen-5-5600h-8gb-256gb-gtx1650-15-6-inch-fhd
44712682,Laptop cũ Dell Gaming G5 5500 Core i7-10750H | 16GB | 512GB | 1650TI | 15.6 inch FHD 165Hz,Dell,Laptop,Gaming,Cũ,6 Tháng,Intel Core i7-10750H,16GB DDR4,512GB M.2 PCIe NVMe,NVIDIA GTX 1650Ti 4GB,15.6 inch FHD 165Hz,14490000,20690000,no,0,https://laptoptv.vn/dell-gaming-g5-5500-core-i7-10750h-16gb-512gb-gtx-1650ti-15-6-inch-fhd
44712683,Laptop cũ Gaming MSI GF63 Thin 10SCXR Core i5-10500H | 8GB | 256GB | GTX 1650 4GB | 15.6 inch FHD,MSI,Laptop,Gaming,Cũ,6 Tháng,Intel Core i5-10500H,8GB DDR4,SSD 256GB NVMe,Nvidia GeForce GTX 1650 4GB,15.6 inch FHD,14690000,15400000,no,0,https://laptoptv.vn/msi-gf63-thin-10scxr-core-i5-10500h-8gb-256gb-gtx1650
55075530,Laptop cũ Asus TUF A15 FA506QM Ryzen 7-4800H | 16GB | 512G | RTX 2060 | 15.6 inch FHD 144Hz,Asus,Laptop,Gaming,Cũ,6 Tháng,AMD Ryzen 7- 4800H,16GB DDR4,512GB NVMe,RTX 2060,15.6 inch 144Hz,14980000,20590000,no,0,https://laptoptv.vn/laptop-cu-asus-tuf-a15-fa506qm-ryzen-7-4800h-16gb-512g-rtx-3050ti-15-6-inch-fhd-144hz
44712962,Laptop cũ Dell Gaming G3 3500 Core i7-10750H | 8GB | 512GB | GTX1650 | 15.6 inch FHD,Dell,Laptop,Gaming,Cũ,6 Tháng,Intel Core i7-10750H,8GB DDR4,512GB NVMe,GTX 1650,15.6 inch FHD,14990000,17260000,no,0,https://laptoptv.vn/laptop-cu-dell-gaming-g3-3500-core-i7-10750h-8gb-512gb-gtx1650
90575238,Laptop Gaming Asus TUF FX706HC-HX009T Core i5 11400H | 16GB | 512GB | RTX 3050 | 17.3 inch FHD 144hz,Asus,Laptop,Gaming,?,,i5-11400H,16GB,512GB,RTX 3050,17.3 inch FHD 144Hz,15680000,22980000,no,0,https://laptoptv.vn/laptop-gaming-asus-tuf-fx706hc-hx009t-core-i5-11400h-16gb-512gb-rtx-3050-17-3-inch-fhd-144hz
44712921,[New 100%] Lenovo Ideapad Gaming 3 15ARH7 Ryzen 5-7535HS | 8GB | 512GB | RTX 2050 4G |15.6 inch FHD 120Hz,Lenovo,Laptop,Gaming,Mới,12 Tháng,AMD Ryzen -7535HS,8GB DDR3,512GB NVMe,Nvidia GTX 1650,15.6 inch 120Hz,15680000,17680000,no,0,https://laptoptv.vn/lenovo-ideapad-gaming-3-15arh7-ryzen-5-7535hs-8gb-512gb-rtx-2050-4g-15-6-inch-fhd
44712647,Laptop cũ Acer Nitro 5 AN515-57 Core i5-11400H | 8GB | 256GB | GTX1650 | 15.6 inch FHD,Acer,Laptop,Gaming,Cũ,6 Tháng,Intel Core i5-11400H,8GB DDR4 3200 MHz,256GB NVMe PCIe,NVIDIA GTX 1650,15.6 inch FHD,15990000,18560000,no,0,https://laptoptv.vn/acer-nitro-5-an515-57-core-i5-11400h-8gb-256gb-gtx1650
44712591,[New 100%] Laptop HP Victus 15-fa0031dx Core i5-12450H | 8GB | 512GB | GTX1650 | 15.6 inch FHD,HP,Laptop,Gaming,Mới,12 Tháng,Intel Core i5-12450H,8GB DDR4 3200 MHz,512GB NVMe PCIe,NVIDIA GTX1650,15.6 inch FHD,15990000,19180000,no,0,https://laptoptv.vn/hp-victus-15-fa0031dx-core-i5-12450h-8gb-512gb-gtx1650
44712918,Lenovo Ideapad Gaming 3 Ryzen 5-5600H | 8GB | 256GB | 3050TI | 15.6 inch FHD 120Hz,Lenovo,Laptop,Gaming,?,,AMD Ryzen 5-5600H,8GB DDR4,256GB NVMe,RTX3050Ti,15.6 inch 120Hz,16290000,24480000,no,0,https://laptoptv.vn/lenovo-ideapad-gaming-3-ryzen-5-5600h-8gb-256gb-3050ti-15-6-inch-fhd
44712871,[Like New] Acer Nitro 5 AN515-57 Core i5-11400H | 16GB | 512GB | RTX 3050 | 15.6 inch FHD,Acer,Laptop,Gaming,Likenew,6 Tháng,intel Core i5-11400H,16GB DDR4,,NVIDIA RTX3050,15.6 inch FHD,16580000,18680000,no,0,https://laptoptv.vn/laptop-cu-acer-nitro-5-an515-57-core-i5-11400h-16gb-512gb-rtx3050
44712646,Laptop cũ Acer Nitro 5 AN515-46 Ryzen 7-6800H | 16GB | 512GB | RTX3050 | 15.6 inch  FHD 165hz,Acer,Laptop,Gaming,Cũ,6 Tháng,Ryzen 7-6800H,16GB DDR4,512GB NVMe PCIe,NVIDIA RTX3050,15.6 inch 2.5K 165Hz,16680000,23780000,no,0,https://laptoptv.vn/acer-nitro-5-an515-46-ryzen-7-6800h-16gb-512gb-rtx3050-fhd-165hz
55074931,Laptop cũ Asus TUF A15 FA506QM Ryzen 7-5800H | 16GB | 512G | RTX 3050TI | 15.6 inch FHD 144Hz,Asus,Laptop,Gaming,Cũ,6 Tháng,AMD Ryzen 7- 5800H,16GB DDR4,512GB NVMe,RTX 3050Ti,15.6 inch 144Hz,16980000,20590000,yes,5,https://laptoptv.vn/laptop-cu-asus-tuf-a15-fa506qm-ryzen-7-5800h-16gb-512g-rtx-3050ti-15-6-inch-fhd-144hz
44712739,[New100%] Laptop Gaming HP Victus 15 Core i5-12450H | 8GB | 512GB | RTX 3050 | 15.6 inch 144hz,HP,Laptop,Gaming,Mới,12 Tháng,Intel Core i5-12450H,8GB DDR4,512GB NVMe PCIe,NVIDIA RTX3050,15.6 inch FHD 144hz,16980000,19980000,no,0,https://laptoptv.vn/hp-victus-15-core-i5-12450h-8gb-512gb-rtx3050-15-6-inch-144hz
44712865,[Like New] Acer Nitro 5 AN515-57 Core i5-11400H | 16GB | 512GB | RTX 3050 | 15.6 inch FHD 144hz,Acer,Laptop,Gaming,Likenew,6 Tháng,intel Core i5-11400H,16GB DDR4,M.2 NMVe 512GB,NVIDIA RTX3050,15.6 inch FHD,17580000,20500000,no,0,https://laptoptv.vn/laptop-cu-gaming-acer-nitro-5-an515-57-core-i5-11400h-16gb-512gb-rtx3050-2-5k-165hz
44712684,[New100%] Laptop Lenovo LOQ 2024 15IAX9  Core i5-12450HX | 12GB | 512GB | RTX 2050 4GB | 15.6 inch FHD 144Hz,Lenovo,Laptop,Gaming,Mới,12 Tháng,Intel Core i5-13420H,8GB DDR5 5200MHz,512GB  NVMe PCIe,NVIDIA RTX 3050 6GB,15.6 inch FHD 144hz,17680000,21560000,yes,-1,https://laptoptv.vn/new100-laptop-lenovo-loq-2024-15iax9-core-i5-12450hx-12gb-512gb-rtx-2050-4gb-15-6-inch-fhd-144hz
46690330,[New100%] Laptop MSI Thin 15 B13UC 2081VN Core i5-13420H | 16GB | 512GB | RTX 3050 4GB | 15.6 inch FHD 144Hz | Win 11,MSI,Laptop,Gaming,Mới,12 Tháng,Intel Core i5-13420H,8GB DDR4,SSD 512GB NVMe,Nvidia GeForce RTX 3050 4GB,15.6 inch FHD 144hz,17890000,25660000,no,0,https://laptoptv.vn/new100-laptop-msi-thin-15-b13uc-2081vn-core-i5-13420h-16gb-512gb-rtx-3050-4gb-15-6-inch-fhd-144hz-win-11
54408668,[New100%] Laptop Lenovo LOQ 15 2023 Core i5-13420H | 8GB | 512GB | RTX 3050 6GB |15.6 inch 144Hz,Lenovo,Laptop,Gaming,Mới,12 Tháng,Intel Core i5-13420H,8GB DDR5 5200MHz,,NVIDIA RTX 3050 6GB,15.6 inch FHD 144hz,18180000,26490000,no,0,https://laptoptv.vn/new100-laptop-lenovo-loq-15-2023-core-i5-13420h-8gb-512gb-rtx-3050-6gb-15-6-inch-144hz
44712738,Laptop cũ Gaming Asus TUF F17 Core i5-11260H | 16GB | 512GB | RTX 3050TI | 17 inch FHD 144hz,Asus,Laptop,Gaming,Cũ,6 Tháng,Intel Core i5-11260H,8GB DDR4,512GB NVMe PCIe,NVIDIA RTX 3050TI,17 inch FHD 144Hz,18460000,21980000,no,0,https://laptoptv.vn/asus-tuf-f17-core-i5-11260h-8gb-512gb-rtx-3050ti
44712714,[Like New] Acer Nitro 5 Tiger Core i5-12500H | 16GB | 512GB | RTX 3050 | 15.6 inch FHD 144Hz,Acer,Laptop,Gaming,Likenew,6 Tháng,Intel Core i5 - 12500H,16GB DDR4,512GB NVMe PCIe,NVIDIA RTX 3050,15.6 inch FHD 144hz,18680000,21560000,yes,2,https://laptoptv.vn/acer-nitro-5-tiger-core-i5-12500h-16gb-512gb-3050-165hz
44712699,Like new Acer Nitro 5 AN515-57 Core i7-11800H | 16GB | 512GB | RTX3050 | 15.6 inch FHD,Acer,Laptop,Gaming,Likenew,6 Tháng,Intel Core i7 - 11800H,16GB DDR4,512GB NVMe PCIe,NVIDIA RTX3050,15.6 inch FHD,18690000,21560000,no,0,https://laptoptv.vn/acer-nitro-5-an515-57-core-i7-11800h-8gb-512gb-rtx3050ti
73581363,HP OMEN 16-B0004T | Core i7-11800H | 16GB | 512GB | RTX 3050Ti | 16.1 FHD,HP,Laptop,Gaming,Mới,12 Tháng,Core i7-11800H,16GB DDR4,512GB M.2 NVMe,RTX 3050Ti,16 inch FHD,18880000,0,no,0,https://laptoptv.vn/hp-omen-16-b0004t-core-i7-11800h-16gb-512gb-rtx-3050ti-16-1-fhd
44712678,Laptop cũ Dell Gaming G15 5511 Core i7-11800H | 8GB | 512GB | RTX 3050TI | 15.6 inch 165Hz,Dell,Laptop,Gaming,Cũ,6 Tháng,Intel Core i7-11800H,16GB DDR4,512GB M.2 PCIe NVMe,NVIDIA RTX 3060 6GB,15.6 inch FHD 165Hz,18880000,22690000,no,0,https://laptoptv.vn/dell-gaming-g15-5511-core-i7-11800h-16gb-512gb-3060-15-6-inch-165hz
44712590,[New 100%] Laptop HP Victus 15-fa1093dx Core i5-13420H | 8GB | 512GB | RTX 3050 6GB | 15.6 inch FHD 120Hz,HP,Laptop,Gaming,Mới,12 Tháng,Intel Core i5-13420H,8GB DDR4,256GB NVMe PCIe,NVIDIA RTX 3050 6GB,15.6 inch FHD,18890000,20780000,no,0,https://laptoptv.vn/hp-victus-15-fa1093dx-core-i5-13420h-8gb-512gb-3050-6gb
44712898,Laptop cũ Asus TUF A15 Ryzen 5-5600H | 16GB | 512G | RTX 3050TI | 15.6 inch FHD 144Hz,Asus,Laptop,Gaming,Cũ,6 Tháng,AMD Ryzen 5-5600H,16GB DDR4,512GB NVMe,RTX 3050Ti,15.6 inch 144Hz,19750000,22750000,no,0,https://laptoptv.vn/asus-tuf-a15-ryzen-5-5600h-16gb-512g-rtx-3050ti-man-hinh-15-6-inch
44712785,[New100%] Laptop Lenovo LOQ 2024 15IAX9 83GS001RVN Core i5-12450HX | 12GB | 512GB | RTX 3050 6GB | 15.6 inch FHD 144Hz,Lenovo,Laptop,Gaming,Mới,12 Tháng,Intel core i5-12450HX,12GB DDR4,512GB NVMe,Nvidia RTX 3060,15 inch,19990000,20890000,yes,-1,https://laptoptv.vn/new100-laptop-lenovo-loq-2024-15iax9-83gs001rvn-core-i5-12450hx-12gb-512gb-rtx-3050-6gb-15-6-fhd-144hz
44712736,Laptop Gaming Asus TUF Dash F15 Core i7-12650H 15.6 inch FHD,Asus,Laptop,Gaming,Mới,12 Tháng,Intel Core i7-12650H,16GB DDR4,512GB M.2 PCIe NVMe,NVIDIA RTX 3060,15.6 inch FHD,19990000,30990000,no,0,https://laptoptv.vn/asus-tuf-dash-f15-core-i7-12650h-16gb-512gb-rtx-3060
62021664,[New100%] Lenovo Ideapad Slim 3 15 2025 AMD Zyzen 7-8745HS | 16GB | 512GB | 15.1 inch 2K+ OLED 165Hz,Lenovo,Laptop,Cao cấp,Mới,12 Tháng,AMD Ryzen 7-8745HS,16GB DDR4,512GB Nvme,onboard,,20690000,23660000,no,0,https://laptoptv.vn/new100-lenovo-ideapad-slim-3-15-2025-amd-zyzen-7-8745hs-16gb-512gb-15-1-inch-2k-oled-165hz
44712861,[Like New] Acer Nitro 5 AN515-57 Core i9-11900H | 16GB | 512GB | RTX 3050 | 15.6 inch FHD 144hz,Acer,Laptop,Gaming,Likenew,6 Tháng,intel Core i9-11900H,16GB DDR4,512GB SSD NVMe PCIe,NVIDIA RTX3050,15.6 inch FHD,20880000,23799000,no,0,https://laptoptv.vn/laptop-cu-gaming-acer-nitro-5-an515-57-core-i9-11900h-16gb-512gb-rtx3050-2-5k-165hz
