price,name,collections,cpu_ten,cpu_tag,ram_ten,ram_tag,url
7690000,Laptop cũ Dell Latitude 7390 2in1 Core i5-8250U | 8GB | 256GB | 13.3 inch FHD,laptop-2in1,i58250u,intel Core i5-8350U,,,https://laptoptv.vn/laptop-cu-dell-latitude-7390-2in1-ca-m-u-ng-core-i5-8250u-man-hinh-13-3-inch-xoay-ga-p-360
7980000,[Like New] Dell latitude 5320 Core i5-1145G7 | 8GB | 256GB | 13.3 inch FHD,laptop-2in1,i51145g,intel Core i5-1135G7,,,https://laptoptv.vn/like-new-dell-latitude-5320-core-i5-1145g7-8gb-256gb-13-3-inch-fhd-cam-ung
8290000,Laptop cũ Dell Latitude 7390 2in1 Core i5-8250U | 16GB | 256GB | 13.3 inch Cảm ứng,laptop-2in1,i58250u,intel Core i5-8350U,,,https://laptoptv.vn/laptop-cu-dell-latitude-7390-2in1-ca-m-u-ng-core-i5-8250u-16gb-256gb-man-hinh-13-3-inch-xoay-ga-p-360
9880000,Laptop cũ HP Elitebook 1030  X360 Core i5-7200U | 16GB 256GB | 13 icnh FHD Cảm ứng,laptop-2in1,i57200u,,16GB,8GB DDR4,https://laptoptv.vn/hp-elitebook-x360-cam-ung-1030-core-i5-7200u-16gb-256gb
10680000,Laptop cũ Dell Inspiron 7415 2in1  Ryzen 5- 5625U | 8GB | 512GB | 14 inch FHD+ Cảm ứng,laptop-2in1,ryzen55625u,Ryzen 5-5500U,,,https://laptoptv.vn/dell-inspiron-7415-2in1-cam-ung-ryzen-5-5500u-8gb-256gb-xoay-ga-p-360
11650000,Laptop cũ HP Pavilion x360 Core i3-1115G4 | 8GB | 128GB | 14 inch FHD,laptop-2in1,i31115g,Intel Core i3-1135G4,,,https://laptoptv.vn/laptop-cu-2in1-hp-pavilion-x360-cam-ung-core-i3-1115g4-8gb-128gb
12590000,Laptop cũ Dell Inspiron 5410 Core i7-11370H | 16GB | 512GB | 14 inch FHD,laptop-2in1,i711370h,Intel Core i7-1195G7,,,https://laptoptv.vn/laptop-cu-dell-inspiron-5410-core-i7-11370h-16gb-512gb-14-inch-fhd
12980000,[Like New] Dell Latitude 7420 2in1 [Vỏ carbon] Core i7-1185G7 | 16GB | 512GB| 14 inch FHD,laptop-2in1,i71185g,Intel Core i7-1145G7,,,https://laptoptv.vn/laptop-cu-dell-latitude-7420-2in1-core-i7-1185g7-ram-16gb-ssd-512gb-man-14-0-inch-fhd
13990000,Laptop cũ Dell Gaming G3 3500 Core i5-10200H | 8GB | 256GB | GTX1650 | 15.6 inch FHD,laptop-gaming,i510200h,Intel Core i5-10210H,,,https://laptoptv.vn/laptop-cu-dell-gaming-g3-3500-core-i5-10200h-8gb-256gb-gtx1650-man-hinh-15-6-inch-fhd
15180000,Laptop cũ Dell Precision 7550 Core™ i7-10850H | 16GB | 512GB | T1000 | 15.6 inch FHD,deal-shock,i710850h,Intel Core i7-10750H,,,https://laptoptv.vn/laptop-cu-dell-precision-7550-core-i7-10850h-16gb-512gb-t1000-15-6-inch-fhd
15480000,[Like new] Dell Latitude 7430 2in1 Core i7-1265U | 16GB | 512GB 14 inch FHD Cảm ứng,laptop-2in1,i71265u,Intel Core i5-1355U,16GB,8GB DDR4,https://laptoptv.vn/like-new-dell-latitude-7430-2in1-core-i7-1265u-16gb-512gb-14-inch-fhd-cam-ung
15790000,Laptop cũ Dell Precision 7550 Core™ i7-10850H | 16GB | 512GB | T2000 | 15.6 inch FHD,deal-shock,i710850h,Intel Core i7-10750H,,,https://laptoptv.vn/dell-precision-7550-mobile-workstation-core-i7-10850h-ram-16gb-ssd-512gb-t1000-fhd
