name,loi,url
[Like new] Dell Latitude 7440 2in1 Core i5-1335U | 16GB | 512GB | 14.0 inch FHD Touch,CPU: tên 1335U / mô tả 1345U,https://laptoptv.vn/like-new-dell-latitude-7440-2in1-core-i7-1365u-32g-512g-14-0-inch-fhd-touch
[Like New] Dell Latitude 5440 Core I5 1350P | 8GB | 256GB | 14 inch FHD,CPU: tên 1350P / mô tả 1345U,https://laptoptv.vn/like-new-dell-latitude-5440-core-i5-1345u-16gb-256gb-14-inch-fhd
[New 100%] Dell Pro 14 PC14250 2025 Core Ultra 5 235U | 8GB | 512G | 14 FHD+ Platinum Silver,RAM: tên 8GB / mô tả 16GB,https://laptoptv.vn/new-100-dell-pro-14-pc14250-2025-core-ultra-5-235u-8gb-512g-14-fhd-platinum-silver
[New 100%] Laptop Dell Inspiron 7445 2in1 Ryzen 7  - 8840HS | 16GB | 1TB | AMD Radeon Graphics | 14 inch FHD+ Touch,RAM: tên 16GB / mô tả 8GB,https://laptoptv.vn/new-100-laptop-dell-inspiron-7445-2in1-2024-ryzen-7-8840hs-16gb-1tb-amd-radeon-graphics-14-inch-fhd-touch
[New 100%] Laptop Asus Vivobook X1404VA i3-1315U  | 8GB | 128GB | 14 Inch FHD | Quiet Blue,RAM: tên 8GB / mô tả 12GB,https://laptoptv.vn/new-100-laptop-asus-vivobook-x1404va-i3-1315u-8gb-128gb-14-inch-fhd-quiet-blue
Macbook Air M2 13inch | 8GB 256GB | LikeNew 99%,RAM: tên 8GB / mô tả 32GB,https://laptoptv.vn/macbook-air-m2-13inch-8gb-256gb-likenew-99
Laptop Cũ Asus Vivobook 14 OLED A1405VA-KM059W Core i5-13500H | 16GB | 512GB | 14 inch 2.8K OLED | Win 11[Đen],RAM: tên 16GB / mô tả 8GB,https://laptoptv.vn/laptop-cu-asus-vivobook-14-oled-a1405va-km059w-core-i5-13500h-8gb-512gb-14-inch-2-8k-oled-win-11-den
Laptop cũ Dell Latitude 7470 Core i5-6300U | 8GB | 256GB | 14 inch FHD,CPU: tên 6300U / mô tả 6600U,https://laptoptv.vn/dell-latitude-7470-core-i5-630u-8gb-256gb-man-hinh-14-inch-fhd
[Like New] Dell Precision 5540 Core i7-9850H | 32GB | 512GB | T1000 | 15.6 inch 4K cảm ứng,CPU: tên 9850H / mô tả 8850H,https://laptoptv.vn/laptop-cu-dell-dell-precision-5540-core-i7-9850h-16gb-512gb-t1000
[Like New] Dell Precision 5570 Core i7-12700H | 16GB | 512GB | RTX A2000 | 15.6 inch FHD,CPU: tên 12700H / mô tả 12900H · RAM: tên 16GB / mô tả 32GB,https://laptoptv.vn/laptop-cu-dell-precision-5570-core-i9-12900h-man-hinh-15-6-inch-fhd
Laptop cũ Dell Inspiron 5448 Core i5-5200U | 4GB | 128GB | M265 | 15.6 inch FHD,RAM: tên 4GB / mô tả 8GB,https://laptoptv.vn/laptop-cu-dell-inspiron-5448-core-i5-5200u-4gb-128gb-r7-m265-man-hinh-15-6-inch-fhd
Laptop cũ HP Elitebook X360 1030 Core i7-7600U | 16GB | 256GB | 13 inch FHD Cảm ứng,RAM: tên 16GB / mô tả 8GB,https://laptoptv.vn/laptop-cu-hp-elitebook-x360-cam-ung-1030-core-i7-7600u-16gb-256gb
Laptop cũ HP Pavilion x360 Core i3-1115G4 | 8GB | 128GB | 14 inch FHD,tên FHD / mô tả HD,https://laptoptv.vn/laptop-cu-2in1-hp-pavilion-x360-cam-ung-core-i3-1115g4-8gb-128gb
Laptop cũ HP Pavilion x360 Core I3-1215U | 8GB | 256GB | 14 inch FHD Cảm ứng,tên FHD / mô tả HD,https://laptoptv.vn/laptop-cu-2in1-hp-pavilion-x360-cam-ung-core-i3-1215u-ssd256
Laptop cũ Lenovo Thinkpad X1 Carbon Gen 7 Core i7-8550U[8665U] | 16GB | 256GB | 14 inch FHD,CPU: tên 8550U / mô tả 8665U,https://laptoptv.vn/laptop-cu-lenovo-thinkpad-x1-carbon-gen-7-core-i7-8250u-8665u-16gb-256gb-fhd
Laptop cũ Lenovo Thinkpad X1 Carbon Gen 7 Core i7-8550U [8665U] | 16GB | 256GB | 14 inch FHD Cảm ứng,CPU: tên 8550U / mô tả 8665U,https://laptoptv.vn/laptop-cu-lenovo-thinkpad-x1-carbon-gen-7-core-i7-8250u-8665u-16gb-256gb-fhd-cam-ung
Laptop cũ Lenovo Thinkpad X1 Carbon Gen 6 Core i7-8550U | 16GB | 256GB | 14 inch FHD,CPU: tên 8550U / mô tả 8265U,https://laptoptv.vn/laptop-cu-lenovo-thinkpad-x1-carbon-gen-6-core-i7-8550u-16gb-256gb-fhd
Laptop cũ HP Elitebook 830 G5 Core I5-7300U | 8GB | 256GB | 13 inch FHD,CPU: tên 7300U / mô tả 8250U,https://laptoptv.vn/laptop-cu-hp-elitebook-830-g5-core-i5-7300u-8gb-256gb-13-inch-fhd
Laptop cũ Dell Latitude 5470 Core i5-6300U | 8GB | 256GB | 14 inch FHD,mô tả tự mâu thuẫn HD/FHD · tên FHD / mô tả HD,https://laptoptv.vn/laptop-cu-dell-latitude-5470-core-i5-6300u-8gb-256gb-man-hinh-14-inch-fhd
[Likenew] Laptop Dell XPS 9315 Core i7-1250U | 32GB | 1TB | 13.3 inch FHD +,RAM: tên 32GB / mô tả 8GB,https://laptoptv.vn/likenew-laptop-dell-xps-9315-core-i7-1250u-32gb-1tb-13-3-inch-fhd
Laptop cũ Dell Latitude 5470 Core i7-6600U | 8GB | 256GB | 14 inch FHD,mô tả tự mâu thuẫn HD/FHD · tên FHD / mô tả HD,https://laptoptv.vn/laptop-cu-dell-latitude-5470-core-i7-6600u-8gb-256gb-man-hinh-14-inch-fhd
Laptop cũ Dell Latitude 5470 Core i7-6820HQ | 8GB | 256GB | 14 inch FHD,mô tả tự mâu thuẫn HD/FHD · tên FHD / mô tả HD,https://laptoptv.vn/laptop-cu-dell-latitude-5470-core-i7-6820hq-8gb-256gb-man-hinh-14-inch-fhd
Laptop cũ HP Elitebook X360 1040 G6 Core i7-8650U | 16GB | 512GB | 14 inch FHD Cảm ứng,CPU: tên 8650U / mô tả 8250U,https://laptoptv.vn/laptop-cu-hp-elitebook-x360-1040-g6-core-i7-8650u-16gb-512gb-14-inch-fhd
Laptop cũ Gaming Asus TUF F17 Core i5-11260H | 16GB | 512GB | RTX 3050TI | 17 inch FHD 144hz,RAM: tên 16GB / mô tả 8GB,https://laptoptv.vn/asus-tuf-f17-core-i5-11260h-8gb-512gb-rtx-3050ti
[New100%] Laptop Laptop Asus ROG Strix G16 Core i5-13450HX | 16GB | 512GB | RTX 4050 | 16 inch FHD+ 165Hz,RAM: tên 16GB / mô tả 8GB,https://laptoptv.vn/new100-laptop-laptop-asus-rog-strix-g16-core-i5-13450hx-16gb-512gb-rtx-4050-16-inch-fhd-165hz
Laptop cũ Dell Precision 7710 Core i7-6920HQ | 8GB | 256GB | M2000 | 17 inch FHD,RAM: tên 8GB / mô tả 16GB,https://laptoptv.vn/dell-precision-7710-core-i7-6920hq-16gb-256gb-m4000m
[Like new] Dell Precision 7560 Core i7- 11800H | 32GB | 512GB |  T1200 | 15.6 inch FHD,CPU: tên 11800H / mô tả 11850H,https://laptoptv.vn/dell-precision-7560-core-i7-11850h-32gb-512gb-a3000-6gb
Laptop cũ Dell Gaming G15 5511 Core i7-11800H | 8GB | 512GB | RTX 3050TI | 15.6 inch 165Hz,RAM: tên 8GB / mô tả 16GB,https://laptoptv.vn/dell-gaming-g15-5511-core-i7-11800h-16gb-512gb-3060-15-6-inch-165hz
[New100%] Laptop HP ENVY 15 x360 Core i5-1235U | 16GB | 512GB | 16inch FHD Cảm ứng,RAM: tên 16GB / mô tả 8GB,https://laptoptv.vn/hp-envy-15-x360-cam-ung-core-i5-1235u-8gb-256gb
Laptop cũ HP Elitebook 850 G6 Core i7-8565U | 8GB | 256GB | 15.6 inch FHD,CPU: tên 8565U / mô tả 8650,https://laptoptv.vn/hp-elitebook-850-g6-core-i7-8565u-8gb-256gb
Laptop cũ HP Elitebook 1030  X360 Core i5-7200U | 16GB 256GB | 13 icnh FHD Cảm ứng,RAM: tên 16GB / mô tả 8GB,https://laptoptv.vn/hp-elitebook-x360-cam-ung-1030-core-i5-7200u-16gb-256gb
